image,bicubic_psnr_db,bicubic_ssim,fp32_psnr_db,fp32_ssim,quant_psnr_db,quant_ssim
baby,35.97166223922197,0.9505944206447552,37.05174332407103,0.9606793361761577,36.91958941999714,0.9564632674289745
bird,35.940509039014785,0.9727066958672793,38.12408521693756,0.9798694240678575,37.97109874093457,0.9772121880233513
butterfly,26.42120855792306,0.9144366281384533,28.46766834605836,0.9312953660188228,28.337602983200078,0.9286800639305478
head,33.71576489249523,0.8540169247181505,34.27399591451533,0.8727838760478606,34.25762806304515,0.8713509623421297
woman,31.150003167452827,0.9473280235168801,32.6834138838161,0.9580757746317721,32.60922228968762,0.9555620652106775
AVERAGE,32.639829579221576,0.9278165385771036,34.12018133707968,0.9405407553884941,34.01902829937292,0.9378537093871362
