case,bicubic_psnr_db,bicubic_ssim,fp32_psnr_db,fp32_ssim,int8_psnr_db,int8_ssim
val_00,34.99526149457348,0.9784611463546753,35.83628065248755,0.9665473103523254,35.6253301339021,0.9569810628890991
val_01,37.63986891308801,0.9812356233596802,37.95051849283598,0.9680336117744446,37.59197952769261,0.9578880667686462
val_02,34.50167051882122,0.9779156446456909,35.16390006182185,0.9646163582801819,34.958774479675,0.9545081853866577
AVERAGE,35.71226697549423,0.9792041381200155,36.316899735715126,0.966399093468984,36.058694713756566,0.956459105014801
