epoch,mse_loss,set5_psnr_db,set5_ssim,learning_rate
1,0.023102255840018227,25.767187784125344,0.7682615107797647,0.001
2,0.004546869481251074,28.600967521360314,0.8468640226727346,0.001
3,0.002678361772828234,30.20333733930827,0.8805402324742335,0.001
4,0.0020989535135283533,31.282677378400898,0.9012932321550615,0.001
5,0.0017433174782506815,32.19885946118198,0.9152397880614513,0.001
6,0.0015009908287998309,32.85403795190743,0.9236636354733372,0.001
7,0.0013571572363706675,33.2217141586756,0.9292551900548485,0.001
8,0.001270443897718016,33.418575712882884,0.9323595525137355,0.001
9,0.0012199692093098158,33.59515693223493,0.9346394614495008,0.001
10,0.0012379077114139244,33.69327727601275,0.9365738135694024,0.001
11,0.0011604616714636334,33.74271014568082,0.9370151160049355,0.001
12,0.001149699430043456,33.78895651307933,0.9378736635413591,0.001
13,0.0011433907609418863,33.790330181341176,0.9377045327485041,0.001
14,0.0011478719362447928,33.82779150489755,0.9383680511436762,0.001
15,0.001140246302903896,33.80033922325747,0.9387171677484542,0.001
16,0.0011446889290639844,33.87175754772278,0.9387761101332023,0.001
17,0.0011265421720224197,33.862047152608234,0.9384983788100861,0.001
18,0.0011524457006669184,33.62614705348559,0.9384103238283558,0.001
19,0.001122007335332775,33.91756548118901,0.9390675836582,0.001
20,0.0011159293764529258,33.92610097919862,0.9390729945400474,0.001
21,0.0011351356315771938,33.91993192017412,0.9389601604218681,0.001
22,0.0011108155859791632,33.93594402474668,0.9393594664550621,0.001
23,0.0011119890482654887,33.923299109310975,0.9391501868588407,0.001
24,0.001112052255868528,33.55801109522972,0.9393655997939574,0.001
25,0.0011179555497090026,34.00136967487487,0.939816205408107,0.001
26,0.0011015302208341802,33.98921719170615,0.9394528850116094,0.001
27,0.0011105625333704546,34.01568398075879,0.9394886957009184,0.001
28,0.001101058646112266,33.50499941617435,0.9392567694005945,0.001
29,0.0011018800239301298,34.02820030401504,0.9398497942728115,0.001
30,0.0011039054627942208,34.04673915281687,0.9394855607451967,0.001
31,0.0010906791000737,34.05810785929309,0.9401130677263861,0.0001
32,0.0010902839863914638,34.05809890423611,0.9401348407490749,0.0001
33,0.0010900289715129554,34.06013435909752,0.9401892126009093,0.0001
34,0.0010897534936832795,34.05853700653262,0.9401468146914018,0.0001
35,0.0010894849803042854,34.0615215262434,0.9401766247794103,0.0001
36,0.0010891653455673605,34.05934911155141,0.940126321268092,0.0001
37,0.0010887880722933274,34.0652928261605,0.9402355259413522,0.0001
38,0.0010883435835629435,34.06726575658546,0.9402073092792504,0.0001
39,0.001087862721041157,34.067030758716,0.9400763423698546,0.0001
40,0.0010873403631734078,34.07415367829054,0.9402609831258506,0.0001
41,0.0010868012984276872,34.076876115926396,0.9402670245310102,0.0001
42,0.0010861099268607846,34.075537462683556,0.94018316692495,0.0001
43,0.001085450888210319,34.081868439800544,0.9402304289745906,0.0001
44,0.0010846845457358491,34.08434181465979,0.9401571918879601,0.0001
45,0.0010839612542230708,34.09183030947159,0.940322851603202,0.0001
46,0.0010831131151932353,34.09838701114983,0.9404523321003294,0.0001
47,0.0010822222875603884,34.09556288035299,0.9400802237575794,0.0001
48,0.0010814190762895312,34.100182926930216,0.9402897977116267,0.0001
49,0.0010806625498814386,34.11539292667576,0.94042102835575,0.0001
50,0.0010797617553060382,34.12018133707968,0.9405407553884941,0.0001
