step,mse_loss,learning_rate,elapsed_seconds
1,0.5921836495399475,0.0009999999938931823,0.2561198000330478
100,0.005477954633533955,0.0009999389330784226,0.5391930000041611
200,0.002448757877573371,0.0009997557473810374,0.8285177000216208
300,0.002047458663582802,0.0009994504881061764,1.1390503000002354
400,0.001586324768140912,0.0009990232305719968,1.4561065000016242
500,0.0008780112839303911,0.0009984740801979007,1.7295626000268385
600,0.0009461851441301405,0.0009978031724785265,2.0083968000253662
700,0.0010791170643642545,0.000997010672950316,2.2743316999985836
800,0.0009025757317431271,0.000996096777150669,2.5155136000248604
900,0.0013089068233966827,0.0009950617105696992,2.760330300021451
1000,0.0008372592856176198,0.0009939057285945968,3.013637399999425
1100,0.0008124574669636786,0.0009926291164466159,3.280495700018946
1200,0.0004910453571937978,0.0009912321891107038,3.528392200008966
1300,0.0002072876668535173,0.0009897152912577763,3.793529700022191
1400,0.0009225659887306392,0.0009880787971596815,4.0443252000259236
1500,0.00034818577114492655,0.0009863231105968519,4.316211900033522
1600,0.0005639223381876945,0.000984448664758669,4.576033200020902
1700,0.00045073797809891403,0.0009824559221366018,4.841296600003261
1800,0.000967554107774049,0.0009803453744100738,5.108384900027886
1900,0.0007497537299059331,0.0009781175423251554,5.369201700028498
2000,0.0008315700106322765,0.0009757729755660803,5.631130900001153
2100,0.0002568412746768445,0.0009733122526196142,5.899967400007881
2200,0.0002526313764974475,0.0009707359806323206,6.159012900025118
2300,0.0006484129698947072,0.0009680447952607636,6.423211799992714
2400,0.0004100426158402115,0.0009652393605146641,6.679240700032096
2500,0.00023097552184481174,0.000962320368593067,6.950565100007225
2600,0.00032130806357599795,0.0009592885397135511,7.224546700017527
2700,0.0005611898377537727,0.0009561446219345261,7.492093300039414
2800,0.000502997834701091,0.0009528893909706607,7.759497600025497
2900,0.00020501685503404588,0.0009495236500014861,8.026040600030683
3000,0.00034226191928610206,0.0009460482294732238,8.282200200017542
3100,0.00028902888880111277,0.0009424639868938849,8.54532770003425
3200,0.0001811833499232307,0.0009387718066216949,8.81660090002697
3300,0.00035447659320198,0.0009349725996468866,9.066625500039663
3400,0.0001474035670980811,0.000931067303366934,9.343133500020485
3500,0.0010509315179660916,0.0009270568813552582,9.608678099990357
3600,0.00032951118191704154,0.0009229423231234799,9.891866500023752
3700,0.00017574506637174636,0.000918724643877276,10.174051200039685
3800,0.00019474883447401226,0.0009144048842658908,10.452489899995271
3900,0.0004391999973449856,0.0009099841101253696,10.732450700015761
4000,0.0004770633240696043,0.0009054634122155817,11.011102900025435
4100,0.0002519517729524523,0.0009008439059510924,11.285051100014243
4200,0.0006941205938346684,0.0008961267311259493,11.54089310002746
4300,0.0002837716310750693,0.0008913130516324556,11.803069100016728
4400,9.55977666308172e-05,0.0008864040551739975,12.081897200027015
4500,0.00014499975077342242,0.0008814009529719979,12.365442200039979
4600,0.00011137073306599632,0.0008763049794670604,12.627726500038989
4700,0.0004958171048201621,0.0008711173920143943,12.88687490002485
4800,7.215256482595578e-05,0.0008658394705735818,13.15687240002444
4900,0.00018108332005795091,0.0008604725173927616,13.430769100028556
5000,0.0001914371532620862,0.000855017856687324,13.685922200034838
5100,0.00026203159359283745,0.0008494768343131789,13.94420710002305
5200,0.00036525254836305976,0.0008438508174346841,14.205297500011511
5300,0.00012954353587701917,0.0008381411941873209,14.469617300026584
5400,0.00044085943954996765,0.0008323493733351915,14.73223439999856
5500,0.0005941231502220035,0.000826476783923425,15.000317500031088
5600,0.00015851335774641484,0.0008205248749255854,15.276968199992552
5700,5.5003143643261865e-05,0.0008144951148861585,15.531636100029573
5800,0.00019462921773083508,0.0008083889915582082,15.786902500025462
5900,3.853541420539841e-05,0.0008022080115362977,16.04601829999592
6000,0.00020340726769063622,0.0007959536998847596,16.32245440001134
6100,0.00021024631860200316,0.0007896275997614084,16.590992200013716
6200,0.0002536187821533531,0.0007832312720367898,16.849300400004722
6300,0.00017133365327026695,0.0007767662949090602,17.122190900030546
6400,0.00042444944847375154,0.0007702342635145879,17.376687200041488
6500,0.00018102998728863895,0.0007636367895343787,17.628878300020006
6600,0.0004232592473272234,0.0007569755007964179,17.895511900016572
6700,0.00020344642689451575,0.0007502520408740261,18.17314460000489
6800,3.9255064621102065e-05,0.0007434680686803338,18.444869400002062
6900,0.000223399096284993,0.0007366252580589686,18.711443900014274
7000,0.00013997434871271253,0.0007297252973710599,18.967269300017506
7100,0.0002840313536580652,0.0007227698890786627,19.230348700017203
7200,0.00041792719275690615,0.0007157607493246955,19.492522099986672
7300,0.00036095562973059714,0.0007086996075095131,19.76990620000288
7400,0.0001665056188357994,0.0007015882058642014,20.032313400006387
7500,0.0002527431643102318,0.0006944282990207045,20.31814139999915
7600,0.00030921626603230834,0.0006872216535789012,20.581838499987498
7700,0.0002552935911808163,0.000679970047670718,20.863696600019466
7800,0.00021309156727511436,0.0006726752705214042,21.123672600020654
7900,0.00032290085800923407,0.0006653391220080694,21.391322000010405
8000,0.00015558963059447706,0.0006579634122155842,21.66331929998705
8100,0.0002390053850831464,0.0006505499609899763,21.920935300004203
8200,0.0002904993889387697,0.0006431005974894037,22.1904914000188
8300,0.00024708398268558085,0.0006356171597328452,22.45661699998891
8400,3.665537587949075e-05,0.000628101494146589,22.730163100000937
8500,0.0003049418446607888,0.0006205554551086593,23.00396980001824
8600,0.00023162411525845528,0.0006129809044912745,23.26881149999099
8700,0.00024570830282755196,0.0006053797112014599,23.53821989998687
8800,0.0002720291377045214,0.0005977537507199201,23.806198200036306
8900,0.0006551400292664766,0.0005901049046382945,24.07869669998763
9000,0.000211979218875058,0.0005824350601949014,24.33874050003942
9100,5.225620770943351e-05,0.0005747461098090905,24.609308700019028
9200,0.0003822934813797474,0.0005670399506143173,24.88153810001677
9300,0.00016547643463127315,0.0005593184839900541,25.15386810002383
9400,0.0003038936119992286,0.0005515836150926516,25.428227700002026
9500,0.0006729124579578638,0.0005438372523852706,25.692802600038704
9600,0.00027123751351609826,0.0005360813071669968,25.972431100031827
9700,9.916512499330565e-05,0.0005283176931012595,26.250796200009063
9800,5.0777485739672557e-05,0.00052054832574366,26.539644000004046
9900,0.00022081141651142389,0.0005127751220693379,26.8194613000378
10000,6.638812919845805e-05,0.0005049999999999868,27.092577500035986
10100,8.40449720271863e-05,0.0004972248779306352,27.358244400005788
10200,0.000349134934367612,0.0004894516742563107,27.604169700003695
10300,0.00030172255355864763,0.00048168230689871075,27.850570100010373
10400,0.000245253904722631,0.00047391869283297414,28.119459100009408
10500,0.0002644850465003401,0.0004661627476147014,28.398571200028528
10600,0.00026383402291685343,0.0004584163849073204,28.678793900005985
10700,0.0004178773961029947,0.00045068151600991777,28.951653600030113
