step,mse_loss,learning_rate,elapsed_seconds
1,0.000318300852086395,9.999999062387613e-05,0.0629350999952294
100,0.00020239966397639364,9.990626960034287e-05,0.8522578999982215
200,0.000731197593268007,9.962544831243764e-05,1.6687641000025906
300,0.00039610330713912845,9.91586444096127e-05,2.4260422000079416
400,0.00025209368322975934,9.85077001536099e-05,3.2071968999807723
500,0.00036947778426110744,9.767518452401962e-05,4.2570186000084504
600,0.00032197171822190285,9.666438307969176e-05,5.1626800000085495
700,5.5151173000922427e-05,9.547928499213576e-05,5.985786899982486
800,0.00044876354513689876,9.412456730208336e-05,6.907745899981819
900,0.00041591821354813874,9.260557646134555e-05,7.844072400010191
1000,0.00031049037352204323,9.092830723280983e-05,8.667093799973372
1100,0.0004277981352061033,8.909937903184979e-05,9.507052699977066
1200,0.0002926001325249672,8.712600980251686e-05,10.282132800028194
1300,0.0003014144895132631,8.501598753161255e-05,11.150889899989124
1400,0.0002979912969749421,8.277763951306265e-05,11.970847100019455
1500,0.00020095934451092035,8.04197994838923e-05,12.796348100004252
1600,0.0001323190808761865,7.795177276150213e-05,13.599901499983389
1700,0.0004504472599364817,7.538329951983128e-05,14.393344299984165
1800,0.00026251081726513803,7.272451634934074e-05,15.228197499993257
1900,0.00012485178012866527,6.998591625252199e-05,16.057836499996483
2000,0.0002964744344353676,6.717830723280978e-05,16.846797099977266
2100,0.00023796214372850955,6.431276964033057e-05,17.594322499993723
2200,9.412231156602502e-05,6.140061244282226e-05,18.39413470000727
2300,0.00024531554663553834,5.845332859430484e-05,19.181225900014397
2400,6.429142376873642e-05,5.548254967764273e-05,19.964198599976953
2500,0.00037362234434112906,5.250000000000027e-05,20.73944420000771
2600,0.00010354233381804079,4.951745032235787e-05,21.5366328000091
2700,0.00018238705524709076,4.6546671405695775e-05,22.326726600003894
2800,0.0003299971285741776,4.359938755717832e-05,23.137980700004846
2900,0.00010463302896823734,4.0687230359669604e-05,23.916574999981094
3000,0.0004074081080034375,3.78216927671902e-05,24.701697700016666
3100,0.00022077039466239512,3.5014083747478035e-05,25.489569599973038
3200,0.0002930796763394028,3.227548365065945e-05,26.332950800016988
3300,0.00021438290423247963,2.9616700480168996e-05,27.155861900013406
3400,0.00023300005705095828,2.7048227238498098e-05,27.95018699998036
3500,0.0003057202266063541,2.4580200516107894e-05,28.755428300006315
3600,0.0005200018640607595,2.2222360486937567e-05,29.5256213999819
3700,0.00021342582476790994,1.998401246838759e-05,30.287066099990625
3800,0.0001833292917581275,1.787399019748328e-05,31.079815500008408
3900,0.00028770597418770194,1.5900620968150368e-05,31.87789010000415
4000,0.0004618358507286757,1.4071692767190383e-05,32.68120450002607
4100,0.0001976513594854623,1.2394423538654666e-05,33.448686100018676
4200,0.0002708718238864094,1.0875432697916775e-05,34.206122800009325
4300,8.011482714209706e-05,9.520715007864306e-06,34.991899300017394
4400,0.00021113276307005435,8.335616920308232e-06,35.799844500026666
4500,0.0002827090211212635,7.324815475980321e-06,36.584841799980495
4600,0.00032757598091848195,6.492299846390103e-06,37.36886049999157
4700,0.0003554545983206481,5.8413555903873335e-06,38.17769280000357
4800,6.962062616366893e-05,5.374551687562324e-06,38.96514149999712
4900,0.0001839862234191969,5.0937303996571035e-06,39.71665060002124
5000,0.00037906074430793524,5e-06,40.50889990001451
